SampleHash,SampleDir,Valid
34458ac7da32292f,2025-01-09-09-phishstats,true
d1968b30ef8fb8d6,2025-01-14-23-phishstats,false
7fe8cd73dc6fdbcb,2025-01-14-23-phishtank,false
18118e9c85ea72bf,2025-01-14-02-phishstats,true
d69b9ed47d39bb42,2025-02-26-13-phishstats,true
5ee575760577ade1,2025-02-15-18-phishstats,true
7d1596577da6ae5d,2025-02-16-12-phishstats,false
d505084f1f41087f,2025-01-18-16-phishstats,true
b77bb5b75cdd784c,2025-01-09-09-phishstats,true
9f1eff31a7cafc29,2025-02-26-13-phishstats,true
125515334910e20a,2025-02-27-00-phishtank,false
2944352235ba781f,2025-02-08-19-phishtank,false
7277f20cdb232833,2025-02-26-13-phishstats,true
03e98dbff96d2607,2025-01-18-16-phishstats,true
7907892231b4a0ee,2025-01-02-16-phishtank,false
d51c22eed5611706,2025-02-09-09-phishtank,false
93a02634c5365d45,2025-01-17-15-phishstats,true
8631424089d8730d,2025-02-20-03-phishtank,false
ab9917ad78bf0afa,2025-02-24-19-phishtank,false
207a09cd0d44b4f0,2025-02-26-13-phishstats,true
cea58752a4594b48,2025-01-27-18-openphish,true
842bc9cae837eb3f,2025-02-27-00-phishtank,true,X
942fe937d9740e6c,2025-01-01-21-phishstats,true
ab6766af530d71c2,2025-01-14-02-phishstats,false
6c2ad4f45fb2a8d6,2025-01-17-15-phishstats,true
92c398fcfade7e85,2025-01-14-02-phishstats,false
356e7226dd8272ad,2025-01-08-18-phishtank,true
fbbc02b2a9da5e98,2025-01-09-09-phishstats,true
766126a0baed9a1f,2025-01-27-18-openphish,true
cc3fda6c864a8076,2025-02-26-13-phishstats,true
b881aa539f92b63a,2025-01-14-02-phishstats,true
2ed007ff7715c9c7,2025-01-14-02-phishstats,false
32e5afd99a7065e9,2025-01-09-09-phishstats,true
08d9af264fc002bc,2025-01-09-09-phishstats,true
bfee9812fa00d8d6,2025-02-16-12-phishstats,false
f897b71d7adc9696,2025-01-09-09-phishstats,true
8afa73dbdf3bab44,2025-01-09-09-phishstats,true
3c15d945a78eb477,2025-01-27-18-openphish,true
9257d2c897fb791e,2025-01-14-02-phishstats,false
4b927d55b6bff9c1,2025-01-17-15-phishstats,true
54d018e46545fbd8,2025-02-26-13-phishstats,true
bf45b2e2ebd5d842,2025-02-27-17-phishstats,false
05df64169b672017,2025-01-09-09-phishstats,true
17dcd3a1260a8f49,2025-01-09-09-phishstats,true
16aee0440dacfcc6,2025-01-16-11-phishstats,false
1e4de02f50e75548,2025-02-26-13-phishstats,true
81772a99b3062006,2025-01-09-09-phishstats,true
1fe4277b116551db,2025-02-09-17-openphish,true, X
