2021-08-16 - 14:46:30 -  196.84.93.78 | Windows 10 | Opera | Come from site :dirrect connection | user agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36 OPR/77.0.4054.277
2021-08-16 - 14:46:35 -  196.84.93.78 | Windows 10 | Opera | Come from site :dirrect connection | user agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36 OPR/77.0.4054.277
2021-08-16 - 14:47:05 -  196.84.93.78 | Windows 10 | Chrome | Come from site :dirrect connection | user agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 Edg/92.0.902.73
2021-08-16 - 14:47:23 -  2a01:e0a:272:5110:59fc:4d84:ea9e:ce4a | Windows 10 | Chrome | Come from site :dirrect connection | user agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 Edg/92.0.902.73
2021-08-16 - 14:47:24 -  109.27.71.134 | Android | Handheld Browser | Come from site :dirrect connection | user agent:Mozilla/5.0 (Linux; Android 10; Redmi 8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36
2021-08-16 - 14:47:57 -  2a01:e0a:272:5110:59fc:4d84:ea9e:ce4a | Windows 10 | Chrome | Come from site :dirrect connection | user agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 Edg/92.0.902.73
2021-08-16 - 14:48:21 -  81.67.196.78 | Android | Chrome | Come from site :dirrect connection | user agent:Mozilla/5.0 (Linux; Android 7.1.1; SAMSUNG SM-T550) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/14.2 Chrome/87.0.4280.141 Safari/537.36
2021-08-16 - 14:48:53 -  37.165.147.148 | Android | Handheld Browser | Come from site :dirrect connection | user agent:Mozilla/5.0 (Linux; Android 10; SAMSUNG SM-A750FN) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/13.2 Chrome/83.0.4103.106 Mobile Safari/537.36
2021-08-16 - 14:48:57 -  86.69.73.49 | Windows 10 | Mozilla | Come from site :dirrect connection | user agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
2021-08-16 - 14:48:59 -  37.165.147.148 | Android | Handheld Browser | Come from site :dirrect connection | user agent:Mozilla/5.0 (Linux; Android 10; SAMSUNG SM-A750FN) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/13.2 Chrome/83.0.4103.106 Mobile Safari/537.36
2021-08-16 - 14:49:10 -  37.165.147.148 | Android | Handheld Browser | Come from site :dirrect connection | user agent:Mozilla/5.0 (Linux; Android 10; SAMSUNG SM-A750FN) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/13.2 Chrome/83.0.4103.106 Mobile Safari/537.36
2021-08-16 - 14:49:39 -  62.8.4.181 | Windows 10 | Chrome | Come from site :dirrect connection | user agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36
2021-08-16 - 14:49:49 -  86.69.73.49 | Windows 10 | Mozilla | Come from site :dirrect connection | user agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
2021-08-16 - 14:49:55 -  2a01:cb18:8ea:be00:e8c5:8b09:b8b8:d750 | Windows 10 | Mozilla | Come from site :dirrect connection | user agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
2021-08-16 - 14:49:59 -  38.108.182.5 | Windows 10 | Chrome | Come from site :dirrect connection | user agent:Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36
2021-08-16 - 14:50:06 -  2a01:cb18:8ea:be00:e8c5:8b09:b8b8:d750 | Windows 10 | Mozilla | Come from site :dirrect connection | user agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
2021-08-16 - 14:50:31 -  77.201.21.194 | iPad | Handheld Browser | Come from site :dirrect connection | user agent:Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1
