date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:32:17	40725/40725	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2020:32:16%20GMT	https://fixmy-iopage.xyz/metawallet/metamask.php	C:/Mie%20pagine%20Web/meta83/fixmy-iopage.xyz/metawallet/metamask.html	(from )
22:32:17	234/234	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Jun%202022%2020:32:17%20GMT	https://fixmy-iopage.xyz/robots.txt		(from )
22:32:18	7772/7772	---M-Z	200	added ('OK')	text/css	etag:%221e5c-5d8c52015a680-gzip%22	https://fixmy-iopage.xyz/metawallet/metamask_files/normalize.css	C:/Mie%20pagine%20Web/meta83/fixmy-iopage.xyz/metawallet/metamask_files/normalize.css	(from https://fixmy-iopage.xyz/metawallet/metamask.php)
22:32:18	39109/39109	---M-Z	200	added ('OK')	text/css	etag:%2298c5-5d8c52015a680-gzip%22	https://fixmy-iopage.xyz/metawallet/metamask_files/webflow.css	C:/Mie%20pagine%20Web/meta83/fixmy-iopage.xyz/metawallet/metamask_files/webflow.css	(from https://fixmy-iopage.xyz/metawallet/metamask.php)
22:32:18	140672/140672	---M-Z	200	added ('OK')	text/css	etag:%2222580-5d8c52015a680-gzip%22	https://fixmy-iopage.xyz/metawallet/metamask_files/metamask-staging-2.webflow.css	C:/Mie%20pagine%20Web/meta83/fixmy-iopage.xyz/metawallet/metamask_files/metamask-staging-2.webflow.css	(from https://fixmy-iopage.xyz/metawallet/metamask.php)
22:32:18	353144/353144	---MCZ	200	added ('OK')	application/javascript	etag:%2256378-5d8c52015a680-gzip%22	https://fixmy-iopage.xyz/metawallet/metamask_files/recaptcha__en.js.download	C:/Mie%20pagine%20Web/meta83/fixmy-iopage.xyz/metawallet/metamask_files/recaptcha__en.js.download	(from https://fixmy-iopage.xyz/metawallet/metamask.php)
22:32:18	50205/50205	---M-Z	200	added ('OK')	application/javascript	etag:%22c41d-5d8c52015a680-gzip%22	https://fixmy-iopage.xyz/metawallet/metamask_files/analytics.js.download	C:/Mie%20pagine%20Web/meta83/fixmy-iopage.xyz/metawallet/metamask_files/analytics.js.download	(from https://fixmy-iopage.xyz/metawallet/metamask.php)
22:32:19	13188/13188	---M-Z	200	added ('OK')	application/javascript	etag:%223384-5d8c52015a680-gzip%22	https://fixmy-iopage.xyz/metawallet/metamask_files/webfont.js.download	C:/Mie%20pagine%20Web/meta83/fixmy-iopage.xyz/metawallet/metamask_files/webfont.js.download	(from https://fixmy-iopage.xyz/metawallet/metamask.php)
22:32:19	752/752	---M--	200	added ('OK')	text/html	etag:%222f0-5d8c52015a680%22	https://fixmy-iopage.xyz/metawallet/metamask_files/css	C:/Mie%20pagine%20Web/meta83/fixmy-iopage.xyz/metawallet/metamask_files/css.html	(from https://fixmy-iopage.xyz/metawallet/metamask.php)
22:32:19	4369/4369	---M-Z	200	added ('OK')	application/javascript	etag:%221111-5d8c52015a680-gzip%22	https://fixmy-iopage.xyz/metawallet/metamask_files/plx.js	C:/Mie%20pagine%20Web/meta83/fixmy-iopage.xyz/metawallet/metamask_files/plx.js	(from https://fixmy-iopage.xyz/metawallet/metamask.php)
22:32:19	60172/60172	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2262a06d3c-eb0c%22	https://metamask.io/metamask_files/favicon.png	C:/Mie%20pagine%20Web/meta83/metamask.io/metamask_files/favicon.9.delayed	(from https://fixmy-iopage.xyz/metawallet/metamask.php)
22:32:20	60172/60172	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2262a06d3c-eb0c%22	https://metamask.io/metamask_files/webclip.png	C:/Mie%20pagine%20Web/meta83/metamask.io/metamask_files/webclip.png	(from https://fixmy-iopage.xyz/metawallet/metamask.php)
