(2024-08-03 21:08:27,382) [DEBUG] Starting new HTTPS connection (1): openphish.com:443
(2024-08-03 21:08:28,809) [DEBUG] https://openphish.com:443 "GET /feed.txt HTTP/1.1" 200 29002
(2024-08-03 21:48:31,170) [DEBUG] Starting new HTTPS connection (1): openphish.com:443
(2024-08-03 21:48:32,493) [DEBUG] https://openphish.com:443 "GET /feed.txt HTTP/1.1" 200 29002
(2024-08-03 21:49:03,926) [DEBUG] Starting new HTTPS connection (1): phishstats.info:443
(2024-08-03 21:49:04,055) [DEBUG] https://phishstats.info:443 "GET /phish_score.csv HTTP/1.1" 200 4954212
(2024-08-03 21:50:29,309) [DEBUG] Starting new HTTPS connection (1): phishstats.info:443
(2024-08-03 21:50:29,413) [DEBUG] https://phishstats.info:443 "GET /phish_score.csv HTTP/1.1" 200 4954212
(2024-08-03 21:51:20,130) [DEBUG] Starting new HTTPS connection (1): phishstats.info:443
(2024-08-03 21:51:20,756) [DEBUG] https://phishstats.info:443 "GET /phish_score.csv HTTP/1.1" 200 4954212
(2024-08-03 21:52:41,251) [DEBUG] Starting new HTTPS connection (1): phishstats.info:443
(2024-08-03 21:52:41,363) [DEBUG] https://phishstats.info:443 "GET /phish_score.csv HTTP/1.1" 200 4954212
(2024-08-03 21:53:10,965) [DEBUG] Starting new HTTPS connection (1): phishstats.info:443
(2024-08-03 21:53:11,100) [DEBUG] https://phishstats.info:443 "GET /phish_score.csv HTTP/1.1" 200 4954212
(2024-08-03 21:53:26,664) [DEBUG] Starting new HTTPS connection (1): phishstats.info:443
(2024-08-03 21:53:26,781) [DEBUG] https://phishstats.info:443 "GET /phish_score.csv HTTP/1.1" 200 4954212
(2024-08-03 21:53:40,982) [DEBUG] Starting new HTTPS connection (1): phishstats.info:443
(2024-08-03 21:53:41,450) [DEBUG] https://phishstats.info:443 "GET /phish_score.csv HTTP/1.1" 200 4954212
(2024-08-03 21:53:48,795) [DEBUG] Starting new HTTPS connection (1): phishstats.info:443
(2024-08-03 21:53:48,921) [DEBUG] https://phishstats.info:443 "GET /phish_score.csv HTTP/1.1" 200 4954212
(2024-08-03 21:54:04,977) [DEBUG] Starting new HTTP connection (1): data.phishtank.com:80
(2024-08-03 21:54:05,066) [DEBUG] http://data.phishtank.com:80 "GET /data/online-valid.csv HTTP/1.1" 301 167
(2024-08-03 21:54:05,071) [DEBUG] Starting new HTTPS connection (1): data.phishtank.com:443
(2024-08-03 21:54:05,483) [DEBUG] https://data.phishtank.com:443 "GET /data/online-valid.csv HTTP/1.1" 429 None
(2024-08-03 21:57:25,168) [DEBUG] Starting new HTTP connection (1): data.phishtank.com:80
(2024-08-03 21:57:25,449) [DEBUG] http://data.phishtank.com:80 "GET /data/online-valid.csv HTTP/1.1" 301 167
(2024-08-03 21:57:25,454) [DEBUG] Starting new HTTPS connection (1): data.phishtank.com:443
(2024-08-03 21:57:25,741) [DEBUG] https://data.phishtank.com:443 "GET /data/online-valid.csv HTTP/1.1" 429 None
(2024-08-03 21:57:25,742) [ERROR] Error while downloading PhishTank: Failed to download file: 429
(2024-08-03 21:57:25,748) [DEBUG] Starting new HTTPS connection (1): openphish.com:443
(2024-08-03 21:57:27,076) [DEBUG] https://openphish.com:443 "GET /feed.txt HTTP/1.1" 200 29002
(2024-08-03 21:57:27,091) [DEBUG] Starting new HTTPS connection (1): phishstats.info:443
(2024-08-03 21:57:27,609) [DEBUG] https://phishstats.info:443 "GET /phish_score.csv HTTP/1.1" 200 4954212
(2024-08-04 10:48:15,376) [DEBUG] Starting new HTTP connection (1): data.phishtank.com:80
(2024-08-04 10:48:15,689) [DEBUG] http://data.phishtank.com:80 "GET /data/online-valid.csv HTTP/1.1" 301 167
(2024-08-04 10:48:15,694) [DEBUG] Starting new HTTPS connection (1): data.phishtank.com:443
(2024-08-04 10:48:15,981) [DEBUG] https://data.phishtank.com:443 "GET /data/online-valid.csv HTTP/1.1" 429 None
(2024-08-04 10:48:15,982) [ERROR] Error while downloading PhishTank: Failed to download file: 429
(2024-08-04 10:48:15,988) [DEBUG] Starting new HTTPS connection (1): openphish.com:443
(2024-08-04 10:48:17,225) [DEBUG] https://openphish.com:443 "GET /feed.txt HTTP/1.1" 200 23145
(2024-08-04 10:48:17,233) [DEBUG] Starting new HTTPS connection (1): phishstats.info:443
(2024-08-04 10:48:17,430) [DEBUG] https://phishstats.info:443 "GET /phish_score.csv HTTP/1.1" 200 4821240
(2024-08-04 12:07:12,074) [DEBUG] Starting new HTTP connection (1): data.phishtank.com:80
(2024-08-04 12:07:12,390) [DEBUG] http://data.phishtank.com:80 "GET /data/online-valid.csv HTTP/1.1" 301 167
(2024-08-04 12:07:12,392) [DEBUG] Starting new HTTPS connection (1): data.phishtank.com:443
(2024-08-04 12:07:12,658) [DEBUG] https://data.phishtank.com:443 "GET /data/online-valid.csv HTTP/1.1" 429 None
(2024-08-04 12:07:12,659) [ERROR] Error while downloading PhishTank: Failed to download file: 429
(2024-08-04 12:07:12,665) [DEBUG] Starting new HTTPS connection (1): openphish.com:443
(2024-08-04 12:07:13,957) [DEBUG] https://openphish.com:443 "GET /feed.txt HTTP/1.1" 200 23145
(2024-08-04 12:07:13,960) [DEBUG] Starting new HTTPS connection (1): phishstats.info:443
(2024-08-04 12:07:14,237) [DEBUG] https://phishstats.info:443 "GET /phish_score.csv HTTP/1.1" 200 4828249
