Sample	Cluster
2020_05_059fcc31cf099017	28
2020_05_10f6e8632a65e299	48
2020_05_28039f6b24ef2897	32
2020_05_3324279b62ae4021	1
2020_05_3d61bea5469927c4	0
2020_05_4c276b1fa10cb103	8
2020_05_52ac7ee30fe637e9	0
2020_05_89d60b6cd18c531f	10
2020_05_a0b84ba54601e2b3	0
2020_05_a68337133d599355	54
2020_05_c3a26b41f0ebf55a	49
2020_05_c682d75d0dce55a8	4
2020_05_dd5214df122b2631	32
2020_05_eb79f7c5e16fdddc	24
2020_05_f2c5d15d4b8c522d	0
2020_06_04f219f01a9b61e0	0
2020_06_1321a28cb2bfe9e9	4
2020_06_167c5572e0c71ae0	0
2020_06_23aa8bf035b943d5	1
2020_06_382263df0c36c320	4
2020_06_4bd37c36f8eb512e	63
2020_06_4d85394b45424499	0
2020_06_6d36f2e302a17103	13
2020_06_85849dd9a935354b	0
2020_06_ac81579d5d83acf0	4
2020_06_b95913e5c8cb8447	0
2020_06_cbcbb666feaef642	4
2020_06_cc448cccb5e88a48	4
2020_06_dc0cf7b2af29911f	4
2020_07_13ac31a2a698139c	16
2020_07_28785cbf1b101c26	14
2020_07_3297e8aab70f9009	1
2020_07_3e497ce89d11ed1d	0
2020_07_41e4c9f1160f89ee	0
2020_07_454d7979022ee60b	10
2020_07_5bec83dee9da8dd8	2
2020_07_5e00f60acf79eb97	2
2020_07_6d2760c5169cfcf1	27
2020_07_779953acf92ee620	53
2020_07_8d9b2121b9547d7d	26
2020_07_8dbb96a2bd9c97ec	1
2020_07_a5d10e46001963eb	30
2020_07_afecad4ade2eb677	54
2020_07_b8ca580e61e13104	1
2020_07_dacb8927a94f0586	4
2020_08_285cbf3dd15dd660	4
2020_08_36c6a29674187242	15
2020_08_3bed6f729f89c932	1
2020_08_403d9c4eabb535b9	4
2020_08_5555b0d0de8536b8	1
2020_08_6641ab0234ce288b	16
2020_08_98bb55feb7acf3ba	0
2020_08_e734638014664a3f	46
2020_08_e7c591aad221f08c	53
2020_08_ed12fb8b4a380280	4
2020_09_8f999ced04388242	4
2020_10_8d6618681c771840	23
2020_10_9827d4ec33c383d8	7
2020_10_9de9f3ca46f6b4e1	7
2020_10_a33c81f28f1e9172	4
2020_10_a39708b6031424b9	42
2020_10_c09d58e1a254fc32	34
2020_10_c763ac0c307704d1	29
2020_10_d05b1835a23020e6	0
2020_10_e87623720117e2f9	1
2020_10_f42d945ad5476791	14
2020_10_fd6d936277132493	0
2020_10_fdf281e9738b4049	15
2020_11_41f9463ca3f8d2cc	18
2020_11_4797be2b58792a6f	6
2020_11_662f4f4c6420b242	6
2020_11_67cd835ce9ee5d68	44
2020_11_7ed8a2bffaede991	7
2020_11_80a6e8f33b14c586	18
2020_11_8fd10cd2a2ab47a5	0
2020_11_a0c66c96c1335b37	41
2020_11_b2f517b092a7e463	5
2020_11_dd687c142cb9a6ea	9
2020_11_e8e4b6676c33a842	18
2020_12_068f6d7850c35d7d	50
2020_12_0c1b57dc26e9bd2f	0
2020_12_33b98e5ac86be619	6
2020_12_504463ab159341d8	16
2020_12_58a39b7eee0709de	23
2020_12_65a2ea33d36771f1	39
2020_12_6b105284cc479cec	0
2020_12_9dc5caba5a6d952c	16
2020_12_a826a9ba28d1dca6	47
2020_12_c699ff1d5ab6f2c5	9
2020_12_cb02050535f06240	37
2020_12_d248c8c6e11aa232	37
2020_12_f340640dee70af08	6
2021_01_00e39b26479c85c8	21
2021_01_43be72bb7f7f8ed4	21
2021_01_4aba59b617815fc0	0
2021_01_63be8cdf62037a7f	0
2021_01_6cda170311736036	46
2021_01_7bd2df2a80c352c5	60
2021_01_9a83143fab7baefe	0
2021_01_a072433af5feffce	48
2021_01_a4fb5d9d3eb9ce3c	0
2021_01_b101dde14d07844d	28
2021_01_c1fb3038ddb8ceef	22
2021_01_c685a299368b8cf9	64
2021_01_e84b98cfb261f590	1
2021_01_f36386a8d18eb0dc	0
2021_01_fb5017ac87ae9caf	0
2021_02_0121ed311572bbae	16
2021_02_1936ceff575445fa	16
2021_02_1de8780ebc8ad193	21
2021_02_7585dd4d8186c912	4
2021_02_821ed20aa859cd00	0
2021_02_85f27d075802abd3	6
2021_02_f946df1a8fc9650c	30
2021_03_2f199c53b95dcbe2	43
2021_03_4962fb6b7d2c7988	0
2021_03_52eadd2316e069ff	14
2021_03_6e2ffa70878c9949	12
2021_03_7e8666f9f442b26f	9
2021_03_87b059850a929e3c	0
2021_03_9e9e68ae5642db27	16
2021_03_a1e16b324057e686	32
2021_03_efb46f5f6ce55476	48
2021_04_21e3c47735511f7b	22
2021_04_24ac1d3079a48ad5	0
2021_04_37af47b717f88920	0
2021_04_432f1e3d17ebf7c5	9
2021_04_486981c4b7d6eb06	33
2021_04_751d205e139ce80f	21
2021_04_751db6e5b4b2d692	35
2021_04_ab88c9ef481602da	21
2021_04_ae34bccd7c23cb6a	21
2021_04_d6843fa9154a3582	0
2021_04_f2d195ad6731a4d8	27
2021_06_08e5bf1eabe9c4ba	57
2021_06_160ef6ef43b5e47b	16
2021_06_2e154d811b06b495	31
2021_06_8d2b986bbf7b41af	0
2021_06_965c6bd7e58cd783	0
2021_06_97b17cc917409949	6
2021_06_ec84b4cb3150012b	0
2021_07_1ac90ab078976440	2
2021_07_5f52515243ea501e	0
2021_07_73b17cc1582eaac0	6
2021_07_b37f22cc76d11869	7
2021_07_f2863a7e449daa18	6
2021_08_0714478bc91dc88a	36
2021_08_57ac8f8c2167febf	0
2021_08_811a0cdbacb7694b	36
2021_08_92bad45b3d1a7c97	6
2021_08_9a596a76cf1c5f95	6
2021_08_c953ba0498af6043	6
2021_08_f8cb0efe741afafb	58
2021_09_3a7c8a1d8f82c0a7	20
2021_09_6877fc4ba6306a7a	13
2021_09_78bce396347f4fd3	0
2021_09_8881e6d6064ff0df	6
2021_09_ac097afc71bdc97b	35
2021_09_df7af9a9de14a13b	6
2021_09_fb530340cb9f6818	0
2021_10_73cd332594b73c7e	20
2021_10_7b6a5a9fe48a2228	16
2021_10_ec81b40b3a9dde59	16
2021_11_0080a612686f4e2f	6
2021_11_1d2652e7a3d1932e	8
2021_11_69857a204e6764e4	6
2021_11_ce560c9d0274b639	25
2021_11_e0f93d437360dbd8	45
2021_11_efbc3cc1615eeecd	50
2021_12_265f56e6c6b9980b	0
2021_12_87c71623c92482f8	34
2021_12_aeff9f19ee1fa123	35
2021_12_be1b325d0e9113e4	0
2021_12_c251a5c0ad4757e2	6
2021_12_c2823e3a5a98b3ef	1
2022_01_07d6ca4a46da6689	0
2022_01_1e367dd6d01c9e59	0
2022_01_206adc591da20f17	1
2022_01_34429bb3ab50f1ea	8
2022_01_53f13dc976aac7fe	0
2022_01_54fc102b7b775450	59
2022_01_569156b45e4a2843	8
2022_01_58ce2f9a339af60a	1
2022_01_626ccafb81e6b8e8	0
2022_01_73754b3f497f8642	61
2022_01_75c4ae3266ba8766	15
2022_01_7b0451015c4d190f	0
2022_01_81f4329e7d66e2fa	6
2022_01_823b69dd2431c15b	1
2022_01_b02b63cec4319d13	0
2022_01_e05c348252577e3a	0
2022_01_e0fc39b803a0e98d	0
2022_01_e429022537bae017	0
2022_01_e46999f129316df5	1
2022_01_e670d15004918a08	52
2022_01_eb26847b73040570	1
2022_01_f3eb7c84956ebf04	47
2022_02_39db16b60c67c5ef	62
2022_02_6b379ebe8c65486c	0
2022_02_6c68defc61fdc2fa	0
2022_02_a1c54ace27fe86f9	9
2022_02_abc12057445ddbdc	0
2022_02_bb595af156336a5d	6
2022_02_ee72e80089e36d3a	0
2022_03_04e6ff441e6f67ae	32
2022_03_3af0876b54a75243	6
2022_04_03840cd8f06f5908	0
2022_04_03d2d8b3b0ddabf0	7
2022_04_3b491fbd7400126b	0
2022_04_4ffbc6fe919735c9	52
2022_04_518b5467bd42f3e7	0
2022_04_9265485bc262a335	20
2022_04_a85b2471c1b9cf8c	6
2022_05_885c892daae9a14c	6
2022_05_894af455f4ef6437	0
2022_05_e6dfdf7a08852202	26
2022_05_faba3136fe97d045	1
2022_06_1a54af952f85ba60	0
2022_06_2c371628ea8d83bf	1
2022_06_4edeb38c6b756de9	0
2022_06_a77b432a218079e6	26
2022_06_bd05224ce1f59111	56
2022_06_cb51ae5fd2034798	0
2022_07_3003487de9b69ec0	1
2022_07_4e4a0fe6a20896a0	6
2022_07_eb35830667ed7c34	1
2022_08_0522a04ab02e4fb3	0
2022_08_07e7e73db3107040	0
2022_08_34ac209786bf4bd1	0
2022_08_589953f682a97f22	0
2022_08_597bedd276cc6773	0
2022_08_5b4c2eb1b3603688	38
2022_08_a82e5cd920432d33	0
2022_08_bb38d72d777bcfbe	0
2022_08_bc6ad58acaf06c7a	0
2022_08_c3635bdc70a38d20	6
2022_08_e4d4d375738b9c02	6
2022_08_f835767a856543cb	1
2022_09_afd5ee0614d8ed81	0
2022_10_535c8e1ade23e461	0
2022_12_3a9c98d58f931971	0
2023_01_48b7f6729e1bf9d7	17
2023_01_8eda71ba81807f2b	6
2023_01_92217a5141a91480	0
2023_02_07384eaf53e3f80d	0
2023_02_4b15c5635f24e6e3	6
2023_03_08b384b097bb8409	0
2023_03_225ff4475bc2988e	6
2023_03_380f6ea20aa05348	17
2023_03_62be4080faa2f719	23
2023_03_6df773ac97650484	0
2023_03_8eb0038b0d5d9b44	6
2023_03_9cea285f8fb41af0	6
2023_04_8297f3ef17a0757c	55
2023_04_cc51dc41cfb3f4c4	17
2023_04_f42a6353f56b7340	0
2023_05_a45bf766731031b3	6
2023_05_befd0553d8d69866	0
2023_05_da061ac812de3926	6
2023_06_e041993ade5fd3be	40
2023_06_f3fbf84e0c259791	0
2023_07_31a6c39dbcfec85b	0
2023_07_88aa64d01508fca6	6
2023_07_9c0574f89e35f2bd	19
2023_08_0c2b9cb984faf028	19
2023_08_73e9e2bb0f2169b6	33
2023_08_d2ce3038e827c97e	19
2023_08_d9f4904b39e29bb0	19
2023_08_ef9e6f40a4e0a378	19
2023_09_685d0c13aaa518e0	6
2023_10_16ceb489e574d767	51
2024_02_93c629d8fe6e763d	6
2024_02_c6126f4b433122b8	11
