Sample	Cluster
2020_05_059fcc31cf099017	6
2020_05_10f6e8632a65e299	17
2020_05_28039f6b24ef2897	79
2020_05_3324279b62ae4021	0
2020_05_3d61bea5469927c4	93
2020_05_4c276b1fa10cb103	46
2020_05_52ac7ee30fe637e9	57
2020_05_89d60b6cd18c531f	95
2020_05_a0b84ba54601e2b3	67
2020_05_a68337133d599355	68
2020_05_c3a26b41f0ebf55a	42
2020_05_c682d75d0dce55a8	20
2020_05_dd5214df122b2631	79
2020_05_eb79f7c5e16fdddc	92
2020_05_f2c5d15d4b8c522d	57
2020_06_04f219f01a9b61e0	108
2020_06_1321a28cb2bfe9e9	20
2020_06_167c5572e0c71ae0	58
2020_06_23aa8bf035b943d5	0
2020_06_382263df0c36c320	20
2020_06_4bd37c36f8eb512e	96
2020_06_4d85394b45424499	120
2020_06_6d36f2e302a17103	143
2020_06_85849dd9a935354b	57
2020_06_ac81579d5d83acf0	6
2020_06_b95913e5c8cb8447	108
2020_06_cbcbb666feaef642	6
2020_06_cc448cccb5e88a48	20
2020_06_dc0cf7b2af29911f	6
2020_07_13ac31a2a698139c	74
2020_07_28785cbf1b101c26	111
2020_07_3297e8aab70f9009	0
2020_07_3e497ce89d11ed1d	120
2020_07_41e4c9f1160f89ee	58
2020_07_454d7979022ee60b	95
2020_07_5bec83dee9da8dd8	114
2020_07_5e00f60acf79eb97	114
2020_07_6d2760c5169cfcf1	40
2020_07_779953acf92ee620	22
2020_07_8d9b2121b9547d7d	121
2020_07_8dbb96a2bd9c97ec	0
2020_07_a5d10e46001963eb	110
2020_07_afecad4ade2eb677	68
2020_07_b8ca580e61e13104	0
2020_07_dacb8927a94f0586	6
2020_08_285cbf3dd15dd660	20
2020_08_36c6a29674187242	24
2020_08_3bed6f729f89c932	0
2020_08_403d9c4eabb535b9	20
2020_08_5555b0d0de8536b8	0
2020_08_6641ab0234ce288b	74
2020_08_98bb55feb7acf3ba	65
2020_08_e734638014664a3f	146
2020_08_e7c591aad221f08c	22
2020_08_ed12fb8b4a380280	25
2020_09_8f999ced04388242	26
2020_10_8d6618681c771840	134
2020_10_9827d4ec33c383d8	10
2020_10_9de9f3ca46f6b4e1	32
2020_10_a33c81f28f1e9172	6
2020_10_a39708b6031424b9	144
2020_10_c09d58e1a254fc32	115
2020_10_c763ac0c307704d1	128
2020_10_d05b1835a23020e6	108
2020_10_e87623720117e2f9	0
2020_10_f42d945ad5476791	112
2020_10_fd6d936277132493	108
2020_10_fdf281e9738b4049	72
2020_11_41f9463ca3f8d2cc	113
2020_11_4797be2b58792a6f	109
2020_11_662f4f4c6420b242	109
2020_11_67cd835ce9ee5d68	15
2020_11_7ed8a2bffaede991	32
2020_11_80a6e8f33b14c586	113
2020_11_8fd10cd2a2ab47a5	108
2020_11_a0c66c96c1335b37	8
2020_11_b2f517b092a7e463	0
2020_11_dd687c142cb9a6ea	34
2020_11_e8e4b6676c33a842	113
2020_12_068f6d7850c35d7d	0
2020_12_0c1b57dc26e9bd2f	108
2020_12_33b98e5ac86be619	77
2020_12_504463ab159341d8	90
2020_12_58a39b7eee0709de	134
