hash	label
 b68bac73e4e88409	0
 ecb5c226a99ab5a3	1
 c6ac036db4271d17	2
 a71eb3853d6a7b02	3
 aa1583c2030c0c33	4
 5935380e3922c27f	5
 04f1093f945d6baf	6
 32b95bda9f24e014	7
 2b075c903d731ced	8
 b72766add3075d7c	9
 0607f45e14da2f43	10
 2f84a642527962ba	11
 7cd1f4d28c082fd0	12
 7d4bb1db7f615e76	13
 e5cee5b07493a4d4	10
 136ca04661eb5548	14
 e884f734a04f6bf4	15
 8657499231ba2485	16
 c638f6902edb4ec1	4
 78ae83b47d5d3369	3
 ed9b9298e9932726	9
 fd458b4148aaca66	3
 dfee3e89a1139bf0	3
 68dc72344e5c990c	17
 a3185bf89141eac7	18
 f7c0a7840134ee64	3
 e293170054513213	10
 58b81a874545d20d	19
 55b2651f6bd4a4b3	3
 052b3bbb7a6229d6	20
 174a6bc00f4c7380	12
 d9db74d27427a091	14
 4ffccaefd0927b69	21
 e3fd18cfe4f59653	10
 87e286703ba0f79d	22
 9b0bf57b8f7856a9	23
 be99e3e9f5e22bed	24
 2d00de4991860d94	25
 cfee09c56699693e	3
 08f345e5f389e083	7
 1cd092fd72b1a676	1
 cfa3915a3304d5ad	26
 43184acc254359a8	27
 bcb053c02cee0b81	28
 d2d04bb357ba512c	15
 974ce82e7daf5d70	29
 9bb2c1a4c0bc9021	30
 b59ffbca6ec8ee4f	10
 bd48a44378508ddb	31
 a944897a978f17d4	32
 08819bdc4494ac0c	33
 1e5919fce513648d	34
 b119620acdd19ae3	10
 e01567d2b43b2e8e	35
 2c7df1e601b0b2e6	36
 312c39cf1ab946f5	37
 737f710946169b85	10
 b8346067fe01eb5e	38
 71c86d64cd6ffdd2	39
 9fcb774e6a638680	35
 25fdc9135f1ac45d	40
 7c38430454eade07	41
 7ca631b1c49a8771	3
 634081f7d8e7b61f	42
 86405f353eb018e8	43
 9b7db3f40143f10c	36
 0daa8077990d3da9	44
 8b7d7d3c2ca6f3a8	45
 181843bbd710a142	46
 94bef37f273f075d	44
 6997ccac5ac9d674	35
 52d92d6a5414d245	44
 2596d72d631e66d4	10
 b7ec8264ceddcc49	36
 ca9b4d48cfed3ab2	36
 1bd7954476590793	36
 8a2bb6e981c8c996	47
 17496cd84ff12a4f	48
 678de9dcacf623ca	35
 d67e014ad6da4b6e	49
 8633f27428410b95	50
 b2c3b77459a7484d	51
 35086838a7dcc1b0	10
 4408fa2412f4cd6b	52
 cb18e3034a0793fb	53
 f4c492767b5126df	4
 f5f2899d7b4bc23c	52
